"Code","Name","Continent","Region","SurfaceArea","IndepYear","Population","LifeExpectancy","GNP","GNPOld","LocalName","GovernmentForm","HeadOfState","Capital","Code2","ID","Name","CountryCode","District","Population"
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",31,"Heerlen","NLD","Limburg",95052
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",32,"Alkmaar","NLD","Noord-Holland",92713
"ANT","Netherlands Antilles","North America","Caribbean",800.00,NULL,217000,74.7,1941.00,NULL,"Nederlandse Antillen","Nonmetropolitan Territory of The Netherlands","Beatrix",33,"AN",33,"Willemstad","ANT","Curaçao",2345
"ALB","Albania","Europe","Southern Europe",28748.00,1912,3401200,71.6,3205.00,2500.00,"Shqipëria","Republic","Rexhep Mejdani",34,"AL",34,"Tirana","ALB","Tirana",270000
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",35,"Alger","DZA","Alger",2168000
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",36,"Oran","DZA","Oran",609823
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",37,"Constantine","DZA","Constantine",443727
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",38,"Annaba","DZA","Annaba",222518
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",39,"Batna","DZA","Batna",183377
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",40,"Sétif","DZA","Sétif",179055
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",41,"Sidi Bel Abbès","DZA","Sidi Bel Abbès",153106
"DZA","Algeria","Africa","Northern Africa",2381741.00,1962,31471000,69.7,49982.00,46966.00,"Al-Jaza’ir/Algérie","Republic","Abdelaziz Bouteflika",35,"DZ",42,"Skikda","DZA","Skikda",128747
